id,level,category,word,translation,phonetic,tense,number_mode,s1_en,s1_pl,s2_en,s2_pl,s3_en,s3_pl,s4_en,s4_pl,s5_en,s5_pl
7,A1,Dom,Houses,Domy,/ˈhaʊ.zɪz/,PresentSimple,plural,Houses are expensive.,Domy są drogie.,New houses are nice.,Nowe domy są ładne.,We see houses.,Widzimy domy.,Small houses are cozy.,Małe domy są przytulne.,They build houses.,Oni budują domy.
7,A1,Dom,House,Dom,/haʊs/,PastSimple,singular,The house was cold.,Dom był zimny.,I sold the house.,Sprzedałem dom.,She painted the house.,Ona pomalowała dom.,We cleaned the house.,Posprzątaliśmy dom.,He left the house.,On wyszedł z domu.
8,A1,Jedzenie,Water,Woda,/ˈwɔː.tər/,PresentSimple,singular,Water is cold.,Woda jest zimna.,I drink water.,Piję wodę.,We need water.,Potrzebujemy wody.,Is the water clean?,Czy woda jest czysta?,Give me water.,Daj mi wodę.
8,A1,Jedzenie,Water,Woda,/ˈwɔː.tər/,PastSimple,singular,The water was hot.,Woda była gorąca.,I drank water.,Wypiłem wodę.,We boiled water.,Zagotowaliśmy wodę.,He spilled water.,On rozlał wodę.,She bought water.,Ona kupiła wodę.
9,A1,Jedzenie,Bread,Chleb,/bred/,PresentSimple,singular,Bread is tasty.,Chleb jest smaczny.,I eat bread.,Jem chleb.,Fresh bread smells good.,Świeży chleb ładnie pachnie.,Do you want bread?,Chcesz chleba?,We bake bread.,Pieczemy chleb.
10,A1,Zwierzęta,Dog,Pies,/dɒɡ/,PresentSimple,singular,The dog barks.,Pies szczeka.,I have a dog.,Mam psa.,My dog runs.,Mój pies biega.,Is it a good dog?,Czy to dobry pies?,The dog eats.,Pies je.
10,A1,Zwierzęta,Dogs,Psy,/dɒɡz/,PresentSimple,plural,Dogs run fast.,Psy biegają szybko.,I like dogs.,Lubię psy.,Dogs are loyal.,Psy są lojalne.,Do you have dogs?,Masz psy?,We walk dogs.,Wyprowadzamy psy.
10,A1,Zwierzęta,Dog,Pies,/dɒɡ/,PastSimple,singular,The dog barked.,Pies szczekał.,I fed the dog.,Nakarmiłem psa.,The dog slept.,Pies spał.,We found a dog.,Znaleźliśmy psa.,He walked the dog.,On wyprowadził psa.
11,A1,Miasto,Car,Samochód,/kɑːr/,PresentSimple,singular,My car is red.,Mój samochód jest czerwony.,He drives a car.,On prowadzi samochód.,Is the car new?,Czy samochód jest nowy?,The car is fast.,Samochód jest szybki.,I need a car.,Potrzebuję samochodu.
11,A1,Miasto,Cars,Samochody,/kɑːrz/,PresentSimple,plural,Cars are loud.,Samochody są głośne.,I see many cars.,Widzę wiele samochodów.,Cars drive by.,Samochody przejeżdżają.,Old cars are cheap.,Stare samochody są tanie.,We wash cars.,Myjemy samochody.
11,A1,Miasto,Car,Samochód,/kɑːr/,PastSimple,singular,The car stopped.,Samochód się zatrzymał.,I bought a car.,Kupiłem samochód.,She drove a car.,Ona prowadziła samochód.,The car broke down.,Samochód się zepsuł.,We cleaned the car.,Umyliśmy samochód.
11,A1,Miasto,Car,Samochód,/kɑːr/,FutureSimple,singular,I will buy a car.,Kupię samochód.,The car will be fast.,Samochód będzie szybki.,He will drive a car.,On będzie prowadził samochód.,We will need a car.,Będziemy potrzebować samochodu.,It will be a new car.,To będzie nowy samochód.
12,A1,Praca,Work,Praca,/wɜːk/,PresentSimple,singular,Work is hard.,Praca jest ciężka.,I go to work.,Idę do pracy.,She likes her work.,Ona lubi swoją pracę.,Work starts at 8.,Praca zaczyna się o 8.,Do you have work?,Masz pracę?
12,A1,Praca,Work,Pracować,/wɜːk/,PresentContinuous,singular,I am working.,Pracuję.,She is working.,Ona pracuje.,He is working.,On pracuje.,We are working.,Pracujemy.,They are working.,Oni pracują.
12,A1,Praca,Worked,Pracował,/wɜːkt/,PastSimple,singular,I worked yesterday.,Pracowałem wczoraj.,She worked hard.,Ona ciężko pracowała.,He worked late.,On pracował do późna.,We worked together.,Pracowaliśmy razem.,They worked there.,Oni tam pracowali.
12,A1,Praca,Will work,Będzie pracować,/wɪl wɜːk/,FutureSimple,singular,I will work.,Będę pracować.,She will work.,Ona będzie pracować.,He will work.,On będzie pracować.,We will work.,Będziemy pracować.,They will work.,Oni będą pracować.
13,A1,Przymiotniki,Good,Dobry,/ɡʊd/,PresentSimple,singular,It is good.,To jest dobre.,He is a good boy.,On jest dobrym chłopcem.,She is a good friend.,Ona jest dobrą przyjaciółką.,This is good food.,To jest dobre jedzenie.,Have a good day.,Miłego dnia.
13,A1,Przymiotniki,Good,Dobry,/ɡʊd/,PastSimple,singular,It was good.,To było dobre.,The movie was good.,Film był dobry.,She was good.,Ona była grzeczna.,The food was good.,Jedzenie było dobre.,We had a good time.,Dobrze się bawiliśmy.
14,A1,Przymiotniki,Happy,Szczęśliwy,/ˈhæp.i/,PresentSimple,singular,I am happy.,Jestem szczęśliwy.,She is happy.,Ona jest szczęśliwa.,Are you happy?,Jesteś szczęśliwy?,He looks happy.,On wygląda na szczęśliwego.,Be happy.,Bądź szczęśliwy.
14,A1,Przymiotniki,Happy,Szczęśliwy,/ˈhæp.i/,PastSimple,singular,I was happy.,Byłem szczęśliwy.,She was happy.,Ona była szczęśliwa.,We were happy.,Byliśmy szczęśliwi.,He seemed happy.,Wydawał się szczęśliwy.,They were happy.,Oni byli szczęśliwi.
14,A1,Przymiotniki,Happy,Szczęśliwy,/ˈhæp.i/,FutureSimple,singular,I will be happy.,Będę szczęśliwy.,She will be happy.,Ona będzie szczęśliwa.,We will be happy.,Będziemy szczęśliwi.,You will be happy.,Będziesz szczęśliwy.,It will make me happy.,To mnie uszczęśliwi.
15,A1,Czas,Today,Dzisiaj,/təˈdeɪ/,PresentSimple,singular,Today is Monday.,Dzisiaj jest poniedziałek.,I work today.,Pracuję dzisiaj.,It is hot today.,Jest dzisiaj gorąco.,Are you free today?,Jesteś dzisiaj wolny?,See you today.,Do zobaczenia dzisiaj.
16,A1,Czas,Yesterday,Wczoraj,/ˈjes.tə.deɪ/,PastSimple,singular,Yesterday was Sunday.,Wczoraj była niedziela.,I worked yesterday.,Pracowałem wczoraj.,It rained yesterday.,Wczoraj padało.,Where were you yesterday?,Gdzie byłeś wczoraj?,I saw him yesterday.,Widziałem go wczoraj.
17,A1,Czas,Tomorrow,Jutro,/təˈmɒr.əʊ/,FutureSimple,singular,Tomorrow is Tuesday.,Jutro jest wtorek.,I will come tomorrow.,Przyjdę jutro.,It will rain tomorrow.,Jutro będzie padać.,See you tomorrow.,Do zobaczenia jutro.,Are you busy tomorrow?,Jesteś zajęty jutro?
18,A1,Szkoła,Book,Książka,/bʊk/,PresentSimple,singular,This represents a book.,To przedstawia książkę.,I read a book.,Czytam książkę.,The book is interesting.,Książka jest ciekawa.,She has a book.,Ona ma książkę.,Where is my book?,Gdzie jest moja książka?
18,A1,Szkoła,Books,Książki,/bʊks/,PresentSimple,plural,Books are heavy.,Książki są ciężkie.,I buy books.,Kupuję książki.,She reads books.,Ona czyta książki.,We love books.,Kochamy książki.,Where are the books?,Gdzie są książki?
19,A1,Osoby,Friend,Przyjaciel,/frend/,PresentSimple,singular,He is my friend.,On jest moim przyjacielem.,She is a good friend.,Ona jest dobrą przyjaciółką.,I meet a friend.,Spotykam przyjaciela.,Do you have a friend?,Masz przyjaciela?,My friend helps me.,Mój przyjaciel mi pomaga.
19,A1,Osoby,Friends,Przyjaciele,/frendz/,PresentSimple,plural,We are friends.,Jesteśmy przyjaciółmi.,Friends help friends.,Przyjaciele pomagają przyjaciołom.,I have many friends.,Mam wielu przyjaciół.,Where are your friends?,Gdzie są twoi przyjaciele?,My friends are cool.,Moi przyjaciele są fajni.
20,A1,Czasowniki,See,Widzieć,/siː/,PresentSimple,singular,I see a bird.,Widzę ptaka.,She sees you.,Ona cię widzi.,Do you see it?,Widzisz to?,We see the sea.,Widzimy morze.,He sees well.,On dobrze widzi.
20,A1,Czasowniki,Seeing,Widzieć (Teraz),/ˈsiː.ɪŋ/,PresentContinuous,singular,I am seeing him.,Spotykam się z nim.,She is seeing a doctor.,Ona idzie do lekarza.,Are you seeing this?,Widzisz to?,We are seeing progress.,Widzimy postęp.,They are seeing friends.,Oni widują się z przyjaciółmi.
20,A1,Czasowniki,Saw,Widział,/sɔː/,PastSimple,singular,I saw a movie.,Widziałem film.,She saw me.,Ona mnie widziała.,We saw a dog.,Widzieliśmy psa.,He saw the accident.,On widział wypadek.,You saw it.,Ty to widziałeś.
20,A1,Czasowniki,Will see,Zobaczy,/wɪl siː/,FutureSimple,singular,I will see you.,Zobaczymy się.,She will see.,Ona zobaczy.,We will see.,Zobaczymy.,He will see it.,On to zobaczy.,You will see.,Zobaczysz.
20,A1,Czasowniki,Seen,Widział (Już),/siːn/,PresentPerfect,singular,I have seen it.,Widziałem to.,She has seen him.,Ona go widziała.,We have seen Paris.,Widzieliśmy Paryż.,Have you seen my keys?,Widziałeś moje klucze?,They have seen enough.,Oni widzieli wystarczająco.
21,A1,Czasowniki,Sleep,Spać,/sliːp/,PresentSimple,singular,I sleep well.,Śpię dobrze.,She sleeps late.,Ona śpi do późna.,The baby sleeps.,Dziecko śpi.,We sleep at night.,Śpimy w nocy.,Do you sleep here?,Śpisz tutaj?
21,A1,Czasowniki,Sleeping,Spać (Teraz),/ˈsliː.pɪŋ/,PresentContinuous,singular,I am sleeping.,Śpię.,She is sleeping.,Ona śpi.,He is sleeping.,On śpi.,We are sleeping.,Śpimy.,They are sleeping.,Oni śpią.
21,A1,Czasowniki,Slept,Spał,/slept/,PastSimple,singular,I slept well.,Spałem dobrze.,She slept all day.,Ona spała cały dzień.,He slept in the car.,On spał w samochodzie.,We slept there.,Spaliśmy tam.,They slept poorly.,Oni spali słabo.
21,A1,Czasowniki,Will sleep,Będzie spać,/wɪl sliːp/,FutureSimple,singular,I will sleep now.,Będę teraz spać.,She will sleep later.,Ona będzie spać później.,He will sleep here.,On będzie tu spał.,We will sleep soon.,Niedługo pójdziemy spać.,They will sleep well.,Oni będą dobrze spać.
22,A1,Czasowniki,Drink,Pić,/drɪŋk/,PresentSimple,singular,I drink water.,Piję wodę.,She drinks tea.,Ona pije herbatę.,Do you drink coffee?,Pijesz kawę?,He drinks milk.,On pije mleko.,We drink juice.,Pijemy sok.
22,A1,Czasowniki,Drinking,Pić (Teraz),/ˈdrɪŋ.kɪŋ/,PresentContinuous,singular,I am drinking tea.,Piję teraz herbatę.,She is drinking water.,Ona pije wodę.,Are you drinking?,Pijesz teraz?,He is drinking soda.,On pije napój gazowany.,We are drinking.,My pijemy.
22,A1,Czasowniki,Drank,Wypił,/dræŋk/,PastSimple,singular,I drank coffee.,Wypiłem kawę.,She drank juice.,Ona wypiła sok.,We drank tea.,Wypiliśmy herbatę.,He drank it all.,On wypił wszystko.,Did you drink water?,Wypiłeś wodę?
22,A1,Czasowniki,Was drinking,Pił (Wtedy),/wɒz ˈdrɪŋ.kɪŋ/,PastContinuous,singular,I was drinking tea.,Piłem herbatę.,She was drinking milk.,Ona piła mleko.,He was drinking slow.,On pił powoli.,We were drinking.,Piliśmy.,Were you drinking?,Piłeś?
22,A1,Czasowniki,Will drink,Wypije,/wɪl drɪŋk/,FutureSimple,singular,I will drink water.,Wypiję wodę.,She will drink tea.,Ona wypije herbatę.,He will drink this.,On to wypije.,We will drink later.,Napijemy się później.,Will you drink?,Napijesz się?
22,A1,Czasowniki,Drunk,Wypił (Już),/drʌŋk/,PresentPerfect,singular,I have drunk water.,Wypiłem wodę (już).,She has drunk tea.,Ona wypiła herbatę.,We have drunk it.,Wypiliśmy to.,Have you drunk?,Piłeś już?,He has drunk milk.,On wypił mleko.
22,A1,Czasowniki,Going to drink,Zamierza wypić,/ˈɡəʊ.ɪŋ tu drɪŋk/,GoingTo,singular,I am going to drink.,Zamierzam się napić.,She is going to drink.,Ona zamierza pić.,We are going to drink.,Zamierzamy pić.,Are you going to drink?,Zamierzasz pić?,He is going to drink.,On zamierza pić.
23,A1,Edukacja,School,Szkoła,/skuːl/,PresentSimple,singular,The school is big.,Szkoła jest duża.,I go to school.,Idę do szkoły.,Is this your school?,Czy to twoja szkoła?,School starts at 8.,Szkoła zaczyna się o 8.,I like my school.,Lubię moją szkołę.
23,A1,Edukacja,Schools,Szkoły,/skuːlz/,PresentSimple,plural,Schools are closed.,Szkoły są zamknięte.,New schools are nice.,Nowe szkoły są ładne.,We build schools.,Budujemy szkoły.,Many schools.,Wiele szkół.,Do you like schools?,Lubisz szkoły?
23,A1,Edukacja,School,Szkoła,/skuːl/,PastSimple,singular,The school was old.,Szkoła była stara.,I went to school.,Poszedłem do szkoły.,School ended early.,Szkoła skończyła się wcześnie.,Was the school open?,Czy szkoła była otwarta?,She left school.,Ona opuściła szkołę.
23,A1,Edukacja,Schools,Szkoły,/skuːlz/,FutureSimple,plural,Schools will open.,Szkoły się otworzą.,We will see schools.,Zobaczymy szkoły.,Schools will be new.,Szkoły będą nowe.,They will build schools.,Oni zbudują szkoły.,More schools will help.,Więcej szkół pomoże.
24,A1,Przymiotniki,Big,Duży,/bɪɡ/,PresentSimple,singular,The house is big.,Dom jest duży.,He has a big dog.,On ma dużego psa.,Is the car big?,Czy samochód jest duży?,This is a big city.,To jest duże miasto.,I want a big cake.,Chcę duże ciasto.
24,A1,Przymiotniki,Big,Duży,/bɪɡ/,PastSimple,singular,The party was big.,Impreza była duża.,It was a big error.,To był duży błąd.,She had a big bag.,Ona miała dużą torbę.,The room was big.,Pokój był duży.,Did you see the big bird?,Widziałeś dużego ptaka?
24,A1,Przymiotniki,Big,Duży,/bɪɡ/,FutureSimple,singular,It will be big.,To będzie duże.,The tree will be big.,Drzewo będzie duże.,We will need a big car.,Będziemy potrzebować dużego auta.,A big change will come.,Nadejdzie duża zmiana.,Will it be big?,Czy to będzie duże?
25,A1,Osoby,Man,Mężczyzna,/mæn/,PresentSimple,singular,He is a good man.,On jest dobrym mężczyzną.,I see a man.,Widzę mężczyznę.,The man is tall.,Mężczyzna jest wysoki.,Who is that man?,Kim jest ten mężczyzna?,A young man.,Młody mężczyzna.
25,A1,Osoby,Men,Mężczyźni,/men/,PresentSimple,plural,Two men are here.,Dwóch mężczyzn jest tutaj.,Men work hard.,Mężczyźni ciężko pracują.,I see three men.,Widzę trzech mężczyzn.,Are those men friends?,Czy ci mężczyźni to przyjaciele?,Men play football.,Mężczyźni grają w piłkę.
25,A1,Osoby,Man,Mężczyzna,/mæn/,PastSimple,singular,The man was nice.,Mężczyzna był miły.,I saw a man.,Widziałem mężczyznę.,A man called you.,Mężczyzna do ciebie dzwonił.,Who was that man?,Kim był ten mężczyzna?,The man left.,Mężczyzna wyszedł.
25,A1,Osoby,Men,Mężczyźni,/men/,PastSimple,plural,The men were tired.,Mężczyźni byli zmęczeni.,Men built this.,Mężczyźni to zbudowali.,We saw men working.,Widzieliśmy pracujących mężczyzn.,Five men came.,Przyszło pięciu mężczyzn.,Did men help?,Czy mężczyźni pomogli?
26,A1,Czasowniki,Run,Biec,/rʌn/,PresentSimple,singular,I run every day.,Biegam codziennie.,She runs fast.,Ona biega szybko.,Dogs run in the park.,Psy biegają w parku.,We run together.,Biegamy razem.,Do you run?,Biegasz?
26,A1,Czasowniki,Running,Biec (Teraz),/ˈrʌn.ɪŋ/,PresentContinuous,singular,I am running.,Biegnę.,She is running.,Ona biegnie.,He is running fast.,On biegnie szybko.,We are running home.,Biegniemy do domu.,They are running away.,Oni uciekają.
26,A1,Czasowniki,Ran,Biegł,/ræn/,PastSimple,singular,I ran yesterday.,Biegałem wczoraj.,She ran to school.,Ona pobiegła do szkoły.,He ran a marathon.,On przebiegł maraton.,We ran fast.,Biegliśmy szybko.,The cat ran away.,Kot uciekł.
26,A1,Czasowniki,Was running,Biegł (Wtedy),/wɒz ˈrʌn.ɪŋ/,PastContinuous,singular,I was running home.,Biegłem do domu.,She was running late.,Ona była spóźniona (biegła).,He was running fast.,On biegł szybko.,We were running.,Biegliśmy.,They were running.,Oni biegli.
26,A1,Czasowniki,Will run,Pobiegnie,/wɪl rʌn/,FutureSimple,singular,I will run tomorrow.,Pobiegnę jutro.,She will run the race.,Ona pobiegnie w wyścigu.,He will run home.,On pobiegnie do domu.,We will run together.,Pobiegniemy razem.,They will run.,Oni pobiegną.
26,A1,Czasowniki,Run,Biegał (Już),/rʌn/,PresentPerfect,singular,I have run today.,Biegałem dzisiaj.,She has run far.,Ona daleko pobiegła.,We have run enough.,Biegaliśmy wystarczająco.,He has run away.,On uciekł.,Have you run?,Biegałeś?
26,A1,Czasowniki,Going to run,Zamierza biec,/ˈɡəʊ.ɪŋ tu rʌn/,GoingTo,singular,I am going to run.,Zamierzam biegać.,She is going to run.,Ona zamierza biegać.,We are going to run.,Zamierzamy biegać.,He is going to run.,On zamierza biegać.,Are you going to run?,Zamierzasz biegać?
27,A1,Osoby,Woman,Kobieta,/ˈwʊm.ən/,PresentSimple,singular,She is a nice woman.,Ona jest miłą kobietą.,The woman is waiting.,Kobieta czeka.,I see a woman.,Widzę kobietę.,Who is that woman?,Kim jest ta kobieta?,A young woman.,Młoda kobieta.
27,A1,Osoby,Women,Kobiety,/ˈwɪm.ɪn/,PresentSimple,plural,The women are talking.,Kobiety rozmawiają.,Two women are here.,Dwie kobiety tu są.,Women work hard.,Kobiety ciężko pracują.,I see three women.,Widzę trzy kobiety.,Are those women friends?,Czy te kobiety to przyjaciółki?
27,A1,Osoby,Woman,Kobieta,/ˈwʊm.ən/,PastSimple,singular,The woman was happy.,Kobieta była szczęśliwa.,I saw a woman.,Widziałem kobietę.,A woman called.,Kobieta dzwoniła.,Who was that woman?,Kim była ta kobieta?,The woman left.,Kobieta wyszła.
27,A1,Osoby,Women,Kobiety,/ˈwɪm.ɪn/,PastSimple,plural,The women were tired.,Kobiety były zmęczone.,Women helped us.,Kobiety nam pomogły.,We saw women working.,Widzieliśmy pracujące kobiety.,Five women came.,Przyszło pięć kobiet.,Did women help?,Czy kobiety pomogły?
28,A1,Przymiotniki,Small,Mały,/smɔːl/,PresentSimple,singular,The box is small.,Pudełko jest małe.,I have a small dog.,Mam małego psa.,Is the room small?,Czy pokój jest mały?,This is a small problem.,To jest mały problem.,A small car.,Mały samochód.
28,A1,Przymiotniki,Small,Mały,/smɔːl/,PastSimple,singular,The house was small.,Dom był mały.,It was a small error.,To był mały błąd.,She had a small bag.,Ona miała małą torbę.,The cake was small.,Ciasto było małe.,Did you see the small bird?,Widziałeś małego ptaka?
28,A1,Przymiotniki,Small,Mały,/smɔːl/,FutureSimple,singular,It will be small.,To będzie małe.,The tree will be small.,Drzewo będzie małe (na początku).,We will need a small car.,Będziemy potrzebować małego auta.,A small change will help.,Mała zmiana pomoże.,Will it be too small?,Czy to będzie za małe?
29,A1,Czas,Time,Czas,/taɪm/,PresentSimple,singular,I have time.,Mam czas.,What time is it?,Która jest godzina?,Time is money.,Czas to pieniądz.,We have no time.,Nie mamy czasu.,Is it time to go?,Czy to czas by iść?
29,A1,Czas,Time,Czas,/taɪm/,PastSimple,singular,I had time yesterday.,Miałem wczoraj czas.,It was a good time.,To był dobry czas.,We had no time.,Nie mieliśmy czasu.,Was there enough time?,Czy było wystarczająco dużo czasu?,Time passed quickly.,Czas minął szybko.
29,A1,Czas,Time,Czas,/taɪm/,FutureSimple,singular,I will have time.,Będę miał czas.,It will take time.,To zajmie trochę czasu.,Will you have time?,Będziesz miał czas?,Time will tell.,Czas pokaże.,We will make time.,Znajdziemy czas.
30,A1,Czasowniki,Buy,Kupować,/baɪ/,PresentSimple,singular,I buy food.,Kupuję jedzenie.,She buys clothes.,Ona kupuje ubrania.,He buys tickets.,On kupuje bilety.,Do you buy online?,Kupujesz przez internet?,We buy fresh fruit.,Kupujemy świeże owoce.
30,A1,Czasowniki,Buying,Kupować (Teraz),/ˈbaɪ.ɪŋ/,PresentContinuous,singular,I am buying milk.,Kupuję teraz mleko.,She is buying a car.,Ona kupuje samochód.,Are you buying this?,Kupujesz to?,We are buying gifts.,Kupujemy prezenty.,They are buying a house.,Oni kupują dom.
30,A1,Czasowniki,Bought,Kupił,/bɔːt/,PastSimple,singular,I bought a phone.,Kupiłem telefon.,She bought a dress.,Ona kupiła sukienkę.,We bought bread.,Kupiliśmy chleb.,He bought nothing.,On nic nie kupił.,Did you buy it?,Kupiłeś to?
30,A1,Czasowniki,Was buying,Kupował (Wtedy),/wɒz ˈbaɪ.ɪŋ/,PastContinuous,singular,I was buying food.,Kupowałem jedzenie.,She was buying shoes.,Ona kupowała buty.,We were buying tickets.,Kupowaliśmy bilety.,He was buying water.,On kupował wodę.,Were you buying that?,Kupowałeś to?
30,A1,Czasowniki,Will buy,Kupi,/wɪl baɪ/,FutureSimple,singular,I will buy it.,Kupię to.,She will buy lunch.,Ona kupi lunch.,He will buy a gift.,On kupi prezent.,We will buy a car.,Kupimy samochód.,Will you buy this?,Kupisz to?
